Volume of water (l), Flight Time(s)
0.1, 2.87
0.11, 2.97
0.12, 3.06
0.13, 3.13
0.14, nan
0.15, 3.26
0.16, 3.3
0.17, 3.34
0.18, 3.37
0.19, 3.4
0.2, 3.43
0.21, 3.45
0.22, 3.46
0.23, 3.47
0.24, 3.47
0.25, 3.47
0.26, 3.46
0.27, 3.45
0.28, 3.44
0.29, 3.42
0.3, 3.4
0.31, nan
0.32, 3.34
0.33, 3.3
0.34, 3.26
0.35, 3.22
0.36, 3.16
0.37, 3.13
0.38, 3.12
0.39, 3.11
0.4, 3.08
0.41, 3.05
0.42, 3.0
0.43, 2.95
0.44, 2.89
0.45, 2.81
0.46, 2.71
0.47, 2.62
0.48, 2.51
0.49, 2.36
0.5, 2.21
0.51, 2.08
0.52, 1.96
0.53, 1.85
0.54, 1.75
0.55, 1.65
0.56, 1.57
0.57, 1.49
0.58, 1.42
0.59, 1.35
0.6, 1.29
0.61, 1.24
0.62, 1.18
0.63, 1.13
0.64, 1.08
0.65, 1.04
0.66, 0.99
0.67, 0.95
0.68, 0.91
0.69, 0.88
0.7, 0.84
0.71, 0.81
0.72, 0.78
0.73, 0.74
0.74, 0.72
0.75, 0.69
0.76, 0.66
0.77, 0.63
0.78, 0.62
0.79, 0.59
0.8, 0.57
0.81, 0.55
0.82, 0.52
0.83, 0.51
0.84, 0.49
0.85, 0.47
0.86, 0.45
0.87, 0.43
0.88, 0.43
0.89, 0.41
0.9, 0.39
0.91, 0.38
0.92, 0.36
0.93, 0.35
0.94, 0.35
0.95, 0.33
0.96, 0.31
0.97, 0.31
0.98, 0.29
0.99, 0.3
